system,family,probe,classifier,threshold_mode,source_group_macro_f1,source_group_weighted_f1,normal_f1,sensor_local_f1,process_f1,fault_source_macro_f1,binary_roc_auc,binary_pr_auc,binary_f1_train_threshold,false_alarm_rate_train_threshold,probe_train_seconds,selected_threshold,notes,localization_top1,localization_top2,localization_mrr,localization_mean_rank,dataset,seed,severity,n_train_per_class,n_test_per_class,split_protocol,ae_kind,selected_lr,selected_hidden,selected_latent,best_epoch,selected_epoch_budget,best_val_loss,ae_train_seconds,device,n_calibration_train,n_calibration_val,ae_feature_infer_ms_per_window
statistical_hier,baseline,hier,logistic,train_f1,0.6187854961408185,0.7679809724767247,0.2777777777777778,0.8425787106446777,0.736,0.851088614283484,0.6818499999999998,0.9414944727188458,0.9015151515151516,0.7,0.0322484999996959,0.2576190355182186,,0.1914285714285714,0.3485714285714286,0.4227619047619048,3.494285714285714,uci_har,3,1.5,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
spectral_flat,baseline,flat,logistic,train_f1,0.5570559897903062,0.7222460964454829,0.2121212121212121,0.8048411497730711,0.6542056074766355,0.8121131741821397,0.7304499999999999,0.9592253609186916,0.8994974874371859,0.76,0.0267543000009027,0.2292286931712575,,0.1857142857142857,0.3457142857142857,0.4217142857142857,3.4514285714285715,uci_har,3,1.5,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
spectral_hier,baseline,hier,logistic,train_f1,0.5588166717961631,0.7472712633172608,0.2135922330097087,0.8414985590778098,0.6213592233009708,0.7903653026246831,0.7130000000000001,0.9556185832645728,0.8983688833124216,0.78,0.0357320999974035,0.1446191378816243,,0.1857142857142857,0.3457142857142857,0.4217142857142857,3.4514285714285715,uci_har,3,1.5,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
stat_spectral_hier,baseline,hier,logistic,train_f1,0.6272368232779164,0.8014625800207065,0.2105263157894736,0.8885754583921015,0.782608695652174,0.881490641625124,0.7737999999999999,0.9662773571738428,0.9271844660194176,0.84,0.034207000000606,0.1141261840889056,,0.1914285714285714,0.3485714285714286,0.4227619047619048,3.494285714285714,uci_har,3,1.5,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
diagnostic_signature_only_hier,feature_block_ablation,hier,logistic,train_f1,0.6444620124472553,0.7944476435560675,0.2448979591836734,0.8694404591104734,0.819047619047619,0.9005305039787799,0.7962999999999999,0.9715768049412088,0.9077306733167082,0.76,0.034884199998487,0.3208413379102832,,0.6542857142857142,0.7285714285714285,0.7581904761904762,1.9857142857142855,uci_har,3,1.5,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
residual_summaries_only_hier,feature_block_ablation,hier,logistic,train_f1,0.5062492934833361,0.6597481278332343,0.2432432432432432,0.7364975450081833,0.5390070921985816,0.7342310418143161,0.709,0.9557855134677312,0.851063829787234,0.64,0.0258278000001155,0.3969432209715166,,0.6542857142857142,0.7285714285714285,0.7581904761904762,1.9857142857142855,uci_har,3,1.5,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
attribution_scores_only_hier,feature_block_ablation,hier,logistic,train_f1,0.5042185592185593,0.7128347578347578,0.2916666666666667,0.8171428571428572,0.4038461538461538,0.6573828470380194,0.7017000000000001,0.952695793062738,0.9154228855721394,0.72,0.0239712000002327,0.3967763957105113,,0.6542857142857142,0.7285714285714285,0.7581904761904762,1.9857142857142855,uci_har,3,1.5,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
indices_only_hier,feature_block_ablation,hier,logistic,train_f1,0.6218400940623162,0.7525475210660395,0.2857142857142857,0.8179012345679012,0.7619047619047619,0.8625185185185185,0.775,0.9689417801448872,0.8837209302325582,0.64,0.0272941999974136,0.2859837228923675,,0.6542857142857142,0.7285714285714285,0.7581904761904762,1.9857142857142855,uci_har,3,1.5,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
hra_plus_spectral_hier,hra_main,hier,logistic,train_f1,0.6527169987491852,0.8151446951946397,0.175,0.896358543417367,0.8867924528301887,0.9447391688771,0.8248,0.9764291696984184,0.9195121951219511,0.86,0.0411124999991443,0.1321715819575957,,0.6542857142857142,0.7285714285714285,0.7581904761904762,1.9857142857142855,uci_har,3,1.5,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
hra_plus_spectral_flat,hierarchy_vs_flat,flat,logistic,train_f1,0.6923328675905996,0.8120245542925956,0.358974358974359,0.8718703976435935,0.8461538461538461,0.921343895724479,0.8240500000000001,0.9763601603658338,0.9129353233830846,0.74,0.0349797000017133,0.2063543814105205,,0.6542857142857142,0.7285714285714285,0.7581904761904762,1.9857142857142855,uci_har,3,1.5,50,50,subject-disjoint partition within UCI HAR train split,,,,,,,,,,,,
