dataset,seed,severity,method,n,top1,top2,mrr,mean_rank
synthetic,2,1.25,supervised_channel_ae_only_hgb,350,0.9457142857142856,0.9771428571428572,0.9679523706436156,1.0942857265472412
synthetic,2,1.5,supervised_channel_hra_ae_hgb,350,0.96,0.9914285714285714,0.9783334136009216,1.0514285564422607
synthetic,2,1.5,supervised_channel_ae_only_hgb,350,0.9771428571428572,0.9914285714285714,0.986904799938202,1.0342856645584106
synthetic,2,1.75,supervised_channel_hra_ae_hgb,350,0.9714285714285714,0.9971428571428572,0.9847618937492372,1.0399999618530271
synthetic,2,1.75,supervised_channel_ae_only_hgb,350,0.9742857142857144,0.9885714285714284,0.9842857122421264,1.054285764694214
synthetic,3,0.75,supervised_channel_hra_ae_hgb,350,0.8114285714285714,0.8942857142857142,0.88062584400177,1.408571481704712
synthetic,3,0.75,supervised_channel_ae_only_hgb,350,0.8342857142857143,0.9142857142857144,0.8947040438652039,1.3942856788635254
synthetic,3,1.0,supervised_channel_hra_ae_hgb,350,0.8971428571428571,0.9485714285714286,0.9377143383026124,1.1885714530944824
synthetic,3,1.0,supervised_channel_ae_only_hgb,350,0.9142857142857144,0.9457142857142856,0.9441701173782348,1.2028571367263794
synthetic,3,1.25,supervised_channel_hra_ae_hgb,350,0.9228571428571428,0.9714285714285714,0.9552653431892396,1.128571391105652
synthetic,3,1.25,supervised_channel_ae_only_hgb,350,0.9428571428571428,0.98,0.9676191210746764,1.0828571319580078
synthetic,3,1.5,supervised_channel_hra_ae_hgb,350,0.94,0.9857142857142858,0.9665985703468324,1.0942857265472412
synthetic,3,1.5,supervised_channel_ae_only_hgb,350,0.9657142857142856,0.9885714285714284,0.9797890782356262,1.0657142400741575
synthetic,3,1.75,supervised_channel_hra_ae_hgb,350,0.9571428571428572,0.9828571428571428,0.9750952124595642,1.0685714483261108
synthetic,3,1.75,supervised_channel_ae_only_hgb,350,0.9828571428571428,0.9914285714285714,0.9895238280296326,1.031428575515747
synthetic,4,0.75,supervised_channel_hra_ae_hgb,350,0.8542857142857143,0.9285714285714286,0.912428617477417,1.2571429014205933
